Year,Price,Dividend,Earnings,CPI,Rate10Y,CAPE,RealDiv,RealEarn,RealPrice,Payout,DivYield,EarnYield,PE,DivGrowth,EarnGrowth,Era
1871,4.691666666666667,0.26,0.4000000000000001,12.398333333333333,5.338333333333334,,6.423333333333333,9.88,115.94416666666666,0.6499999999999999,0.05541740674955595,0.0852575488454707,11.729166666666666,,,1871-1900  Gilded Age
1872,5.029166666666667,0.2816666666666667,0.41625,12.921666666666667,5.460833333333333,,6.670833333333333,9.860833333333334,119.12416666666667,0.6766766766766766,0.056006628003314005,0.08276719138359569,12.082082082082081,0.08333333333333326,0.04062499999999991,1871-1900  Gilded Age
1873,4.801666666666667,0.31625,0.44625000000000004,12.679166666666667,5.53,,7.6525,10.794166666666667,115.80416666666667,0.7086834733893557,0.06586254772648385,0.0929364803887539,10.760037348272641,0.1227810650887573,0.07207207207207222,1871-1900  Gilded Age
1874,4.57,0.33,0.46,11.940833333333332,5.286666666666666,,8.465,11.799999999999999,117.195,0.717391304347826,0.07221006564551422,0.10065645514223194,9.934782608695652,0.04347826086956541,0.03081232492997188,1871-1900  Gilded Age
1875,4.4475,0.31375000000000003,0.4058333333333333,11.265833333333333,4.8500000000000005,,8.523333333333333,11.0175,120.83583333333333,0.7731006160164272,0.0705452501405284,0.0912497657860221,10.958932238193018,-0.0492424242424242,-0.11775362318840588,1871-1900  Gilded Age
1876,4.060833333333333,0.3,0.31666666666666665,10.5075,4.526666666666666,,8.75,9.227500000000001,118.32,0.9473684210526316,0.07387646213831316,0.0779807100348861,12.823684210526315,-0.043824701195219196,-0.2197125256673511,1871-1900  Gilded Age
1877,3.1358333333333337,0.24041666666666664,0.29083333333333333,10.116666666666667,4.399166666666667,,7.248333333333334,8.825833333333334,95.07916666666667,0.8266475644699139,0.07666755248471963,0.09274515014615997,10.782234957020059,-0.19861111111111118,-0.08157894736842097,1871-1900  Gilded Age
1878,3.3833333333333333,0.18458333333333332,0.30541666666666667,8.640833333333333,4.285,,6.5425,10.835,120.10916666666667,0.6043656207366984,0.05455665024630542,0.09027093596059113,11.077762619372441,-0.2322357019064124,0.05014326647564471,1871-1900  Gilded Age
1879,4.1225,0.19083333333333333,0.34791666666666665,8.522499999999999,4.128333333333333,,6.866666666666667,12.508333333333333,147.74666666666667,0.5485029940119761,0.04629068122094199,0.08439458257529817,11.849101796407185,0.0338600451467268,0.13915416098226463,1871-1900  Gilded Age
1880,5.2091666666666665,0.2325,0.4395833333333334,9.5375,3.873333333333333,,7.4816666666666665,14.145833333333334,167.30833333333334,0.5289099526066351,0.044632858742601186,0.08438649816029437,11.850236966824642,0.21834061135371186,0.26347305389221587,1871-1900  Gilded Age
1881,6.254166666666666,0.2925,0.46291666666666664,9.775,3.6633333333333336,17.63083333333333,9.153333333333334,14.525,196.11833333333334,0.6318631863186318,0.04676882078614257,0.07401732178547635,13.510351035103511,0.25806451612903203,0.05308056872037903,1871-1900  Gilded Age
1882,5.8999999999999995,0.32,0.4345833333333333,10.309166666666666,3.624166666666667,15.243333333333332,9.506666666666666,12.910833333333334,175.27583333333334,0.7363374880153404,0.054237288135593226,0.07365819209039548,13.576222435282837,0.09401709401709413,-0.06120612061206121,1871-1900  Gilded Age
1883,5.634166666666666,0.32541666666666663,0.41375,9.561666666666667,3.625,15.316666666666668,10.435,13.253333333333332,180.45333333333335,0.7865055387713997,0.057757728146723857,0.073435882265937,13.617321248741188,0.01692708333333326,-0.047938638542665335,1871-1900  Gilded Age
1884,4.740833333333334,0.31916666666666665,0.35125,8.816666666666666,3.5733333333333337,13.765,11.089166666666666,12.179166666666667,164.41083333333333,0.9086595492289442,0.06732290384953418,0.0740903497978555,13.497034400948992,-0.01920614596670933,-0.15105740181268879,1871-1900  Gilded Age
