Crisis,Start,End,DivDrawdown,EarnDrawdown,PriceDrawdown,RealDivDrawdown,Cushion
Panic of 1873,1873,1879,-0.4163372859025033,-0.34827264239028954,-0.34692814994793464,-0.14505063704671672,0.06806464351221375
Panic of 1893,1893,1897,-0.26655348047538185,-0.3369127516778524,-0.11343804537521807,-0.16087314662273466,-0.07035927120247054
Panic of 1907,1907,1908,-0.007905138339921014,-0.12632821723730825,-0.008184523809523725,0.0,-0.11842307889738724
Great Depression,1929,1933,-0.4890710382513661,-0.7166989753530878,-0.7337134072128627,-0.32138663399193357,-0.2276279371017217
1937 recession,1937,1938,-0.11063829787234047,-0.31132075471698106,-0.2542867961270081,-0.09252686828292944,-0.2006824568446406
Oil shock / stagflation,1973,1975,0.0,0.0,-0.23152170540230244,-0.06149084535928706,0.0
Dot-com bust,2000,2002,-0.0438437531460788,-0.4751246196672493,-0.30229518765668717,-0.08178575472766392,-0.4312808665211705
Global financial crisis,2007,2009,-0.04047302852083745,-0.7928984777959491,-0.3588551660308359,-0.07188450499078958,-0.7524254492751117
COVID-19,2020,2020,0.0,0.0,0.0,0.0,0.0
