Era,Start,End,c,t,r2,n,target,halflife
1871-1900  Gilded Age,1871,1900,0.35672787153668584,7.544270240856624,0.6782497298850634,29,0.7268643961815833,1.5710945905121694
1901-1929  Pre-Crash,1901,1929,0.2841676167849994,5.816839185242725,0.5654762025936341,28,0.6081417889781224,2.0733712843693404
1930-1945  Depression & War,1930,1945,0.4441250447371706,6.450483559532491,0.7619428604289816,15,0.6831554682831043,1.1804038167652895
1946-1972  Post-war boom,1946,1972,0.35071496032242255,5.3794279415617305,0.5466415630180492,26,0.5449480881235755,1.6049403231948032
1973-1981  Stagflation,1973,1981,0.37678740451674597,2.5803236609823186,0.5259940964643659,8,0.41924682873767044,1.4658378353395933
1982-1999  Buyback era begins,1982,1999,0.07145682161853809,2.78723852579946,0.3412008185572297,17,0.49028161213351146,9.349368463722588
2000-2008  Dot-com to GFC,2000,2008,0.13755068419149444,1.7047846209816675,0.32631886081185635,8,0.3369650391802291,4.684094819640652
2009-2023  Post-GFC,2009,2023,0.07335757375060518,0.8872256052731047,0.061559306656917445,14,0.3856024891570809,9.09790973999963
