Date,SP500,Dividend,Earnings,CPI,Rate10Y,RealPrice,RealDiv,RealEarn,CAPE,Year,Payout,DivYield,EarnYield,PE,TRIndex,RealTRIndex
1872-12-01,5.07,0.3,0.43,12.94,5.56,119.95,7.1,10.17,,1872,0.6976744186046512,0.05917159763313609,0.08481262327416172,11.790697674418606,1.2691986346287871,1.2221186234524488
1873-01-01,5.11,0.3025,0.4325,12.94,5.58,120.89,7.16,10.23,,1873,0.6994219653179191,0.059197651663405085,0.08463796477495107,11.815028901734104,1.285470411995823,1.2377868109326085
1873-02-01,5.15,0.305,0.435,13.23,5.57,119.21,7.06,10.07,,1873,0.7011494252873564,0.059223300970873784,0.08446601941747572,11.839080459770116,1.3018742051691223,1.2261037487836177
1873-03-01,5.11,0.3075,0.4375,13.23,5.56,118.28,7.12,10.13,,1873,0.7028571428571428,0.06017612524461839,0.08561643835616438,11.680000000000001,1.2981876681803748,1.2226317721487128
1873-04-01,5.04,0.31,0.44,13.23,5.55,116.66,7.18,10.18,,1873,0.7045454545454546,0.061507936507936505,0.0873015873015873,11.454545454545455,1.2869142674415284,1.2120144952623917
1873-05-01,5.05,0.3125,0.4425,12.94,5.54,119.47,7.39,10.47,,1873,0.7062146892655368,0.06188118811881188,0.08762376237623763,11.412429378531073,1.2960639555202298,1.2479873945735753
1873-06-01,4.98,0.315,0.445,12.56,5.53,121.39,7.68,10.85,,1873,0.7078651685393258,0.06325301204819277,0.08935742971887549,11.191011235955058,1.284782210692888,1.2745530529644413
1873-07-01,4.97,0.3175,0.4475,12.56,5.53,121.14,7.74,10.91,,1873,0.7094972067039106,0.06388329979879276,0.09004024144869216,11.106145251396647,1.2889745221233615,1.2787119861191945
1873-08-01,4.97,0.32,0.45,12.56,5.52,121.14,7.8,10.97,,1873,0.7111111111111111,0.06438631790744467,0.09054325955734407,11.044444444444444,1.295836517609179,1.2855193478829912
1873-09-01,4.59,0.3225,0.4525,12.56,5.51,111.88,7.86,11.03,,1873,0.712707182320442,0.07026143790849673,0.09858387799564271,10.143646408839778,1.2037113191741873,1.194127630327259
1873-10-01,4.19,0.325,0.455,12.27,5.5,104.5,8.11,11.35,,1873,0.7142857142857143,0.07756563245823389,0.10859188544152744,9.20879120879121,1.1058606032772662,1.1229847690981856
1873-11-01,4.04,0.3275,0.4575,11.89,5.49,103.99,8.43,11.78,,1873,0.7158469945355191,0.08106435643564357,0.11324257425742575,8.830601092896174,1.0734193862956836,1.1248785158321462
1873-12-01,4.42,0.33,0.46,12.18,5.48,111.1,8.3,11.56,,1873,0.717391304347826,0.0746606334841629,0.10407239819004525,9.608695652173912,1.1816359137404062,1.2087999577344386
1874-01-01,4.66,0.33,0.46,12.37,5.47,115.33,8.17,11.38,,1874,0.717391304347826,0.07081545064377683,0.09871244635193133,10.130434782608695,1.253148946981483,1.2622664413410896
1874-02-01,4.8,0.33,0.46,12.37,5.44,118.8,8.17,11.38,,1874,0.717391304347826,0.06875,0.09583333333333334,10.43478260869565,1.2981923908912252,1.3076376063463757
1874-03-01,4.73,0.33,0.46,12.37,5.4,117.07,8.17,11.38,,1874,0.717391304347826,0.06976744186046512,0.09725158562367864,10.282608695652174,1.286697979096876,1.296059565040184
1874-04-01,4.6,0.33,0.46,12.18,5.37,115.63,8.3,11.56,,1874,0.717391304347826,0.07173913043478261,0.1,9.999999999999998,1.2588149890635925,1.2877532646742498
1874-05-01,4.48,0.33,0.46,12.08,5.34,113.5,8.36,11.65,,1874,0.717391304347826,0.07366071428571429,0.10267857142857142,9.73913043478261,1.2335018615661182,1.2723040724431982
1874-06-01,4.46,0.33,0.46,11.8,5.3,115.72,8.56,11.94,,1874,0.717391304347826,0.07399103139013453,0.1031390134529148,9.695652173913043,1.2355668758432934,1.304674853644698
1874-07-01,4.46,0.33,0.46,11.89,5.27,114.8,8.49,11.84,,1874,0.717391304347826,0.07399103139013453,0.1031390134529148,9.695652173913043,1.2431852814678876,1.302782893783842
1874-08-01,4.47,0.33,0.46,11.8,5.24,115.98,8.56,11.94,,1874,0.717391304347826,0.0738255033557047,0.10290827740492171,9.717391304347824,1.2536380725116198,1.323756812160575
1874-09-01,4.54,0.33,0.46,11.8,5.2,117.8,8.56,11.94,,1874,0.717391304347826,0.07268722466960353,0.10132158590308371,9.869565217391305,1.2809825271133835,1.3526307023587083
1874-10-01,4.53,0.33,0.46,11.61,5.17,119.47,8.7,12.13,,1874,0.717391304347826,0.0728476821192053,0.10154525386313466,9.847826086956522,1.2859202350923449,1.38006598873821
1874-11-01,4.57,0.33,0.46,11.51,5.14,121.52,8.77,12.23,,1874,0.717391304347826,0.07221006564551422,0.10065645514223194,9.934782608695652,1.3050812981980255,1.4127986946609383
1874-12-01,4.54,0.33,0.46,11.51,5.1,120.72,8.77,12.23,,1874,0.717391304347826,0.07268722466960353,0.10132158590308371,9.869565217391305,1.3043673587569982,1.412025828854231
1875-01-01,4.54,0.3275,0.4517,11.51,5.07,120.72,8.71,12.01,,1875,0.7250387425282268,0.07213656387665199,0.09949339207048458,10.050918751383662,1.3122682623618038,1.4205788487426652
1875-02-01,4.53,0.325,0.4433,11.51,5.03,120.46,8.64,11.79,,1875,0.7331378299120235,0.07174392935982339,0.09785871964679911,10.218813444619895,1.3172663472450652,1.4259894601801488
1875-03-01,4.59,0.3225,0.435,11.51,4.99,122.05,8.58,11.57,,1875,0.7413793103448276,0.07026143790849673,0.09477124183006536,10.551724137931034,1.3425890722794853,1.4534022450566801
1875-04-01,4.65,0.32,0.4267,11.61,4.95,122.63,8.44,11.25,,1875,0.749941410827279,0.06881720430107527,0.09176344086021505,10.8975861260839,1.368000276125734,1.4681553351013477
1875-05-01,4.47,0.3175,0.4183,11.32,4.91,120.86,8.58,11.31,,1875,0.7590246234759742,0.07102908277404922,0.09357941834451902,10.686110447047573,1.3228905896011576,1.4561145535715923
1875-06-01,4.38,0.315,0.41,11.13,4.87,120.45,8.66,11.27,,1875,0.7682926829268293,0.07191780821917808,0.09360730593607305,10.682926829268293,1.3040855173682926,1.4599196357959503
1875-07-01,4.39,0.3125,0.4017,11.13,4.83,120.72,8.59,11.05,,1875,0.7779437391087877,0.07118451025056947,0.09150341685649203,10.928553647000248,1.3148784625748222,1.4720023040145809
1875-08-01,4.41,0.31,0.3933,11.23,4.79,120.25,8.45,10.72,,1875,0.7882023900330537,0.07029478458049887,0.08918367346938774,11.212814645308926,1.3286687122060408,1.4741952051725082
1875-09-01,4.37,0.3075,0.385,11.13,4.75,120.17,8.46,10.59,,1875,0.7987012987012987,0.07036613272311212,0.08810068649885583,11.35064935064935,1.3244005020572307,1.4826621972716167
1875-10-01,4.3,0.305,0.3767,11.13,4.71,118.25,8.39,10.36,,1875,0.8096628616936554,0.07093023255813953,0.0876046511627907,11.414919033713831,1.3109519271650591,1.4676065599709467
1875-11-01,4.37,0.3025,0.3683,11.04,4.67,121.21,8.39,10.22,,1875,0.8213412978550094,0.06922196796338673,0.084279176201373,11.865327178930219,1.3400418488046717,1.512402303995128
1875-12-01,4.37,0.3,0.36,10.94,4.63,122.26,8.39,10.07,,1875,0.8333333333333334,0.06864988558352403,0.08237986270022883,12.13888888888889,1.347771876631968,1.5350308576631009
1876-01-01,4.46,0.3,0.3533,10.85,4.59,125.88,8.47,9.97,,1876,0.8491367110104726,0.06726457399103139,0.0792152466367713,12.62383243702236,1.3832395575959673,1.588494459690853
1876-02-01,4.52,0.3,0.3467,10.85,4.58,127.57,8.47,9.79,,1876,0.8653014133256417,0.06637168141592921,0.07670353982300886,13.037207960773001,1.4096017464739172,1.6187684572410148
1876-03-01,4.51,0.3,0.34,10.85,4.57,127.29,8.47,9.6,,1876,0.8823529411764705,0.06651884700665188,0.07538802660753881,13.26470588235294,1.4142796283759325,1.6241404764575227
1876-04-01,4.34,0.3,0.3333,10.75,4.56,123.57,8.54,9.49,,1876,0.9000900090009001,0.06912442396313365,0.07679723502304148,13.021302130213021,1.3688094407673934,1.5865456401824858
1876-05-01,4.18,0.3,0.3267,10.37,4.54,123.38,8.86,9.64,,1876,0.9182736455463728,0.07177033492822966,0.0781578947368421,12.794612794612794,1.326231266918638,1.5935237787662713
1876-06-01,4.15,0.3,0.32,10.09,4.53,125.97,9.11,9.71,,1876,0.9375,0.07228915662650602,0.07710843373493975,12.96875,1.324644865881654,1.635785433982697
1876-07-01,4.1,0.3,0.3133,10.09,4.52,124.45,9.11,9.51,,1876,0.957548675390999,0.07317073170731708,0.07641463414634148,13.086498563676985,1.3166650775329691,1.6259313048623187
1876-08-01,3.93,0.3,0.3067,10.18,4.51,118.17,9.02,9.22,,1876,0.9781545484186502,0.07633587786259541,0.07804071246819337,12.813824584284319,1.2701000930836326,1.5545625893734836
1876-09-01,3.69,0.3,0.3,10.28,4.5,109.93,8.94,8.94,,1876,1.0,0.08130081300813008,0.08130081300813008,12.3,1.2006162457520853,1.455221636388228
1876-10-01,3.67,0.3,0.2933,10.47,4.49,107.35,8.77,8.58,,1876,1.0228435049437437,0.08174386920980926,0.07991825613079019,12.512785543811797,1.202243097033592,1.4307496646646185
1876-11-01,3.6,0.3,0.2867,10.56,4.47,104.35,8.7,8.31,,1876,1.0463899546564353,0.08333333333333333,0.07963888888888888,12.556679455877223,1.1875016966612457,1.401162039810523
1876-12-01,3.58,0.3,0.28,10.75,4.46,101.93,8.54,7.97,,1876,1.0714285714285714,0.08379888268156424,0.0782122905027933,12.785714285714285,1.1891510045732752,1.3783089783240008
1877-01-01,3.55,0.2908,0.2817,10.94,4.45,99.32,8.14,7.88,,1877,1.0323038693645723,0.08191549295774649,0.07935211267605634,12.602058927937522,1.1874901791478933,1.352479673874109
1877-02-01,3.34,0.2817,0.2833,10.66,4.44,95.95,8.09,8.14,,1877,0.9943522767384398,0.08434131736526947,0.08482035928143712,11.789622308506884,1.1253504348437506,1.3153720842545154
1877-03-01,3.17,0.2725,0.285,10.18,4.43,95.32,8.19,8.57,,1877,0.9561403508771932,0.0859621451104101,0.08990536277602523,11.12280701754386,1.0759815808121695,1.3169676323103765
1877-04-01,2.94,0.2633,0.2867,10.47,4.42,85.99,7.7,8.39,,1877,0.9183815835367979,0.0895578231292517,0.09751700680272109,10.254621555633065,1.0056213236546967,1.1967566086664299
1877-05-01,2.94,0.2542,0.2883,10.66,4.41,84.46,7.3,8.28,,1877,0.8817204301075268,0.0864625850340136,0.09806122448979591,10.197710718002082,1.0131264283746026,1.1841984331658113
1877-06-01,2.73,0.245,0.29,10.09,4.4,82.87,7.44,8.8,,1877,0.8448275862068966,0.08974358974358974,0.10622710622710622,9.413793103448276,0.9480600490829028,1.1707461062014837
1877-07-01,2.85,0.2358,0.2917,10.18,4.39,85.7,7.09,8.77,,1877,0.8083647583133357,0.08273684210526316,0.10235087719298246,9.77031196434693,0.9968232109481253,1.2200802758756033
1877-08-01,3.05,0.2267,0.2933,9.8,4.39,95.27,7.08,9.16,,1877,0.772928741902489,0.07432786885245903,0.09616393442622952,10.39890896692806,1.0736485506971625,1.3650674430292493
