Era,Start,End,Months,Payout,DivYield,CAPE,Rate,DivGrowth,EarnGrowth,DivVol,EarnVol,SmoothRatio,RealDivCAGR,RealEarnCAGR
1871-1900  Gilded Age,1871,1900,360,0.717391304347826,0.04783545727136432,16.85,3.62,0.006812386831643344,0.01720506228494967,0.12064017237564378,0.14761587910947804,0.8172574190759793,0.015933860500260577,0.022471237883002093
1901-1929  Pre-Crash,1901,1929,348,0.6098105951548555,0.05190458308971283,12.719999999999999,3.925,0.0427769559683247,0.0633618767650201,0.08716643631040884,0.2322707632138723,0.3752794157314882,0.009937127715993643,0.011395954592982926
1930-1945  Depression & War,1930,1945,192,0.6880457006864766,0.0507315428677014,12.98,2.565,-0.010409226526852647,0.016535526549489872,0.18591668973657166,0.2696723214770182,0.6894170255155967,-0.03122079098390096,-0.021860949614697422
1946-1972  Post-war boom,1946,1972,324,0.5474707663492374,0.036312131414555825,17.130000000000003,3.86,0.061687548261526275,0.08360838249098555,0.06963756100876234,0.14410370413556434,0.48324615544407795,0.0288338524881111,0.04409291918213487
1973-1981  Stagflation,1973,1981,108,0.41843121572580705,0.04679329299354848,9.77,8.04,0.08969835391137485,0.09764928617420125,0.03804479664168197,0.09661374691188677,0.3937824363274039,-0.004224406262987479,0.0002475677275102228
1982-1999  Buyback era begins,1982,1999,216,0.4853150913436889,0.031232450760933658,17.785,7.76,0.05408576532176825,0.0769544153623626,0.031231721678141627,0.15523591790355817,0.201188759018674,0.020360477145741074,0.03287155010773679
2000-2008  Dot-com to GFC,2000,2008,108,0.34169313824720327,0.0172886771297944,26.335,4.525,0.07212741046861092,0.03796044132486455,0.06601787800330736,0.32890373837742065,0.20072097182292017,0.040809005963176714,-0.037545905086892706
2009-2023  Post-GFC,2009,2023,174,0.4019289391659367,0.019529782371125355,26.57,2.325,0.07582475200722623,0.3040531960045153,0.07256402130066032,0.8163216871470431,0.0888914535080696,0.04734963617720833,0.15634898086819282
