Year,SmoothRatio,Payout,DivYield
1891,1.0279816352706894,0.7415775134560436,0.05439696919094932
1892,0.9955942938009466,0.7415775134560436,0.0505030544608679
1893,0.9609722385806767,0.7521966482362521,0.0490824906723034
1894,0.8375951811541009,0.7653381867960924,0.0490824906723034
1895,0.8623775762209797,0.7697960531747998,0.04652975100354228
1896,0.9013914554139091,0.7697960531747998,0.046123723316635924
1897,0.82708810849105,0.7521966482362521,0.045294812077465524
1898,0.6935196119510243,0.7521966482362521,0.0443237958538052
1899,0.6653671541459718,0.7521966482362521,0.04388340227965409
1900,0.7276931654567308,0.7521966482362521,0.04367721689951169
1901,0.6891419020657433,0.7521966482362521,0.04316206350099511
1902,0.6691791905535646,0.7521966482362521,0.042705559405107826
1903,0.6756617046172164,0.7203207273984391,0.042705559405107826
1904,0.6860923822179211,0.6880671926071054,0.042705559405107826
1905,0.672099129150704,0.681849240966188,0.04243891620497211
1906,0.6206954326603651,0.6646706144962828,0.04213937949943252
1907,0.6475366738618845,0.6469274278592656,0.04213937949943252
1908,0.6473469905733554,0.6469274278592656,0.04213937949943252
1909,0.6433539509506033,0.6395891897909767,0.042752562008357045
1910,0.6392456944238725,0.6278314820499648,0.04350860280978391
1911,0.6149626977957248,0.6278314820499648,0.04350860280978391
1912,0.6187779379247377,0.6278314820499648,0.04380854758486681
1913,0.6409418170545156,0.6278314820499648,0.04380854758486681
1914,0.7524560275365186,0.6278314820499648,0.04380854758486681
1915,0.6718053520781788,0.6179158010067496,0.04508998592562736
1916,0.4551618405477501,0.605423987776929,0.046919495833202755
1917,0.5006697962635624,0.5961954711954711,0.048024738416816946
1918,0.4906421904026803,0.5961954711954711,0.049324129560349025
1919,0.5292620873197685,0.5961954711954711,0.05037675242959312
1920,0.4817439725350836,0.6006886956959666,0.05105875135178069
1921,0.41480107068858857,0.6006886956959666,0.05204253882213611
1922,0.41818046984560003,0.6087100860702983,0.053322464549199956
1923,0.3528999412458841,0.6141501361981094,0.05379158884108781
1924,0.35197682738423675,0.6087100860702983,0.05506194830645987
1925,0.35016618148861084,0.6087100860702983,0.05506194830645987
1926,0.3481571732782234,0.6087100860702983,0.05506194830645987
1927,0.3435554318914397,0.6141501361981094,0.05506194830645987
1928,0.3520254201855977,0.6141501361981094,0.05459282401457201
1929,0.3563315181275944,0.6107935835646915,0.05459282401457201
1930,0.3489828805218511,0.6114983416115403,0.05459282401457201
1931,0.34489705064032766,0.6114983416115403,0.05637276885404671
1932,0.40457643172703417,0.6114983416115403,0.057166114465474024
1933,0.45889347417947407,0.6114983416115403,0.05711807814761359
1934,0.459969036979108,0.6114983416115403,0.05538616962599932
1935,0.42641463256147355,0.6114983416115403,0.05538616962599932
1936,0.515669896029273,0.6209070709469305,0.05504873513533441
1937,0.5424042227117875,0.6372158584005427,0.05197119963847464
1938,0.5408242933209366,0.6478190191480574,0.05197119963847464
1939,0.5639582515406857,0.6651568048912695,0.051649495238592885
1940,0.5653499709187234,0.6651568048912695,0.051649495238592885
1941,0.598578365443749,0.6478190191480574,0.051649495238592885
1942,0.5993888816135147,0.6460502841628681,0.051649495238592885
1943,0.7014421030626201,0.6460502841628681,0.051649495238592885
1944,0.6967499286889031,0.6478190191480574,0.05119458926216361
1945,0.7007988354340454,0.6591255196147011,0.05068727254498291
1946,0.6960843416987309,0.6761167553620384,0.04916146031819969
1947,0.621743436331674,0.6761167553620384,0.05054011621095327
1948,0.6044019235115452,0.6761167553620384,0.05069938447843317
1949,0.611372011389461,0.6761167553620384,0.05131968474886088
1950,0.6449367104047379,0.6591255196147011,0.05198943759844343
1951,0.7066265338675144,0.6463968341587429,0.05198943759844343
1952,0.6967204702659149,0.6390212677538492,0.05198943759844343
1953,0.6368983657955211,0.6266400038280132,0.05382173222449009
1954,0.6257569580696508,0.6118407542355762,0.05382173222449009
1955,0.7059412040289971,0.61108905756003,0.05382173222449009
1956,0.6698936486173401,0.586535997559845,0.05382173222449009
1957,0.5863863043685268,0.5689220454099724,0.05382173222449009
1958,0.6068803301458663,0.5689220454099724,0.05117252841483125
1959,0.503938670042159,0.5659278526999745,0.05117252841483125
1960,0.5021639442155134,0.5659278526999745,0.05054011621095327
1961,0.4983716605104328,0.5659278526999745,0.05010471283569483
1962,0.48284031779614756,0.5659278526999745,0.046394567847655374
1963,0.43737784436161437,0.5686850533132302,0.04162996584954602
1964,0.4565613839338509,0.5649413658541448,0.03977341979993057
1965,0.45472897069592166,0.5573306634695077,0.03931988271782362
1966,0.465682049843798,0.548405661426367,0.03859554652199621
1967,0.6257500874781448,0.548405661426367,0.03787864480398237
1968,0.7476576394869023,0.548405661426367,0.036251238385731986
1969,0.7609658708958932,0.548405661426367,0.03394251105260507
1970,0.5907578528660171,0.5573306634695077,0.03394251105260507
1971,0.47953814301994707,0.5573306634695077,0.033174775558279204
1972,0.4636443537539708,0.548405661426367,0.03256055989375589
1973,0.41023333324834066,0.5429938268391346,0.03178761114059738
1974,0.4029247469557986,0.5395146975245798,0.03178761114059738
1975,0.41288132374183023,0.5395146975245798,0.03178761114059738
1976,0.3702470660447082,0.5395146975245798,0.03178761114059738
1977,0.4334514812891072,0.5395146975245798,0.03178761114059738
1978,0.5063268897483477,0.5376925016033001,0.03178761114059738
1979,0.4723829905683835,0.5368839524413179,0.03256055989375589
1980,0.49344673324147226,0.5285359516018102,0.03256055989375589
1981,0.5060791459046291,0.5164353398201555,0.033174775558279204
1982,0.4726327022087357,0.49830018385233027,0.03525311037307814
1983,0.45309714779159266,0.49830018385233027,0.03771208385331419
1984,0.4217805566476583,0.47150846777669564,0.040340351203247395
1985,0.40925014921057834,0.47150846777669564,0.04203414526357083
1986,0.3941911971095486,0.47150846777669564,0.04203414526357083
1987,0.3938510582228433,0.47150846777669564,0.04203414526357083
1988,0.3304933799123492,0.45653407060917817,0.04203414526357083
1989,0.3456909364251142,0.44845732525891857,0.04203414526357083
1990,0.3385710097590799,0.44845732525891857,0.04203414526357083
1991,0.28534439925532656,0.44845732525891857,0.04203414526357083
1992,0.265721076603825,0.44845732525891857,0.04203414526357083
1993,0.28533216348934654,0.45653407060917817,0.04203414526357083
1994,0.2805741716912172,0.47150846777669564,0.03940587791363762
1995,0.2693593979319692,0.47150846777669564,0.03609048147150391
1996,0.2642944841748075,0.47150846777669564,0.0348326026018833
1997,0.23194805418569875,0.47150846777669564,0.034587937423574466
1998,0.21098038195998547,0.47150846777669564,0.0333765992381184
1999,0.2136002436174752,0.47150846777669564,0.03230078658101612
2000,0.20875683754207838,0.47150846777669564,0.03099719191935948
2001,0.21796951751854082,0.47150846777669564,0.029723211530702585
2002,0.21055527691922457,0.47736121981273893,0.028811741499738204
2003,0.19998435098796158,0.45641957169516567,0.027826725007675607
2004,0.19990189799059696,0.4474851627375057,0.02625010270013925
2005,0.2161680166240414,0.4392941905468195,0.023120809532723257
2006,0.23122414598406935,0.43335030677892217,0.019720309272928588
2007,0.2400373703148186,0.4199583956670062,0.017918779835947196
2008,0.21983619538006838,0.4199583956670062,0.017918779835947196
2009,0.21908484937114744,0.42590227943490355,0.017918779835947196
2010,0.09464268794253143,0.4080903317118255,0.017918779835947196
2011,0.09736536237546421,0.4014736069731495,0.017918779835947196
2012,0.10531712331514914,0.3955022058537223,0.017918779835947196
2013,0.11039691022758173,0.3857629482526317,0.017918779835947196
2014,0.11211202017537596,0.3714993014640452,0.017918779835947196
2015,0.11294303946972921,0.3714993014640452,0.017918779835947196
2016,0.1126898634070773,0.3714993014640452,0.017918779835947196
2017,0.11269284831111583,0.37888891306700634,0.01866331894906957
2018,0.11303711068456226,0.37888891306700634,0.019026355515872596
2019,0.11309749090368477,0.3906203400039495,0.01932437227401896
2020,0.11054265795024219,0.4167504663984467,0.01932437227401896
2021,0.10829605575568309,0.39565901971486117,0.01932437227401896
2022,0.10739087086949316,0.3696639459893315,0.01932437227401896
2023,0.10642807329403405,0.3696639459893315,0.01932437227401896
