Symbol,Security,Sector,SubIndustry,Founded,Age,YearAdded,Payer,CompanyKey,AgeBand,PayerLabel
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,1919,107,1965,True,CMI,100-150y,Pays a dividend
CVS,CVS Health,Health Care,Health Care Services,1996,30,1957,True,CVS,25-50y,Pays a dividend
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,1969,57,1998,True,DHR,50-75y,Pays a dividend
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,1938,88,1995,True,DRI,75-100y,Pays a dividend
DVA,DaVita,Health Care,Health Care Services,1979,47,2008,False,DVA,25-50y,Does not pay
DECK,Deckers Brands,Consumer Discretionary,Footwear,1973,53,2024,False,DECK,50-75y,Does not pay
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,1837,189,1957,True,DE,150y+,Pays a dividend
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2016,10,2024,True,DELL,<25y,Pays a dividend
DAL,Delta Air Lines,Industrials,Passenger Airlines,1929,97,2013,True,DAL,75-100y,Pays a dividend
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1971,55,2000,True,DVN,50-75y,Pays a dividend
DXCM,Dexcom,Health Care,Health Care Equipment,1999,27,2020,False,DXCM,25-50y,Does not pay
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2007,19,2018,True,FANG,<25y,Pays a dividend
DLR,Digital Realty,Real Estate,Data Center REITs,2004,22,2016,True,DLR,<25y,Pays a dividend
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,1939,87,2012,True,DG,75-100y,Pays a dividend
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,1986,40,2011,False,DLTR,25-50y,Does not pay
D,Dominion Energy,Utilities,Multi-Utilities,1983,43,2016,True,D,25-50y,Pays a dividend
DPZ,Domino's,Consumer Discretionary,Restaurants,1960,66,2020,True,DPZ,50-75y,Pays a dividend
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,1955,71,1985,True,DOV,50-75y,Pays a dividend
DOW,Dow Inc.,Materials,Commodity Chemicals,2019,7,2019,True,DOW,<25y,Pays a dividend
