CompanyKey,SectorKey,AgeBandKey,Price,PE,PB,DivYield,EPS,MarketCapBn,Payer,PayoutRatio,Age,Founded
HST,Real Estate,25-50y,24.500000,16.666666,2.457865,0.032700,1.470000,16.997274,True,0.545000,33,1993
HWM,Industrials,100-150y,289.260000,1701.529400,21.005010,0.001700,0.170000,115.735093,True,2.892600,138,1888
HPQ,Information Technology,75-100y,25.750000,9.537037,-164.012730,0.046600,2.700000,23.548959,True,0.444426,87,1939
HUBB,Industrials,100-150y,486.090000,28.728724,6.815715,0.011700,16.920000,25.685858,True,0.336126,138,1888
HUM,Health Care,50-75y,389.320000,41.505330,2.515735,0.009100,9.380000,46.742344,True,0.377699,65,1961
HBAN,Financials,150y+,17.360000,13.353848,1.179268,0.035700,1.300000,35.074404,True,0.476732,160,1866
HII,Industrials,<25y,287.590000,18.686810,2.200248,0.019200,15.390000,11.332205,True,0.358787,15,2011
IBM,Information Technology,100-150y,214.190000,19.005323,6.105236,0.031600,11.270000,201.795764,True,0.600568,115,1911
IEX,Industrials,25-50y,223.270000,32.979320,4.096246,0.013100,6.770000,16.525342,True,0.432029,38,1988
IDXX,Health Care,25-50y,544.320000,39.994125,27.717690,,13.610000,42.937594,False,,43,1983
ITW,Industrials,100-150y,283.020000,26.254173,25.217855,0.022800,10.780000,81.424851,True,0.598595,114,1912
INCY,Health Care,25-50y,117.670000,16.620056,4.184417,,7.080000,23.508367,False,,35,1991
IR,Industrials,150y+,84.400000,57.027027,3.245655,0.000900,1.480000,33.028829,True,0.051324,167,1859
PODD,Health Care,25-50y,163.260000,38.144855,8.681272,,4.280000,11.308150,False,,26,2000
INTC,Information Technology,50-75y,92.320000,,4.162871,,-2.090000,465.662050,False,,58,1968
ICE,Financials,25-50y,145.790000,21.221250,2.799293,0.014300,6.870000,82.446066,True,0.303464,26,2000
IFF,Materials,50-75y,75.940000,23.510836,1.372517,0.021100,3.230000,19.387746,True,0.496079,68,1958
IP,Materials,100-150y,42.160000,,1.507275,0.043900,-5.190000,22.324435,True,,128,1898
